bank_code,bank_name,listed,state_owned,fy,total_assets,cash_bank_balances,investments,gross_loans,net_loans,total_deposits,borrowings,total_liabilities,shareholders_equity,paid_up_capital,reserves,interest_income,interest_expense,net_interest_income,non_interest_income,operating_income,operating_expenses,personnel_expenses,provision_loan_losses,profit_before_tax,profit_after_tax,roa,roe,nim,profit_margin,asset_growth,loan_growth,deposit_growth,equity_growth,profit_growth,cost_income,assets_per_employee,loans_per_employee,deposits_per_employee,profit_per_employee,assets_per_branch,gross_npl_pct,net_npl_pct,provision_coverage_pct,car_pct,cet1_pct,loan_deposit_ratio,asset_share_pct,loan_share_pct,deposit_share_pct,profit_share_pct,asset_rank,loan_rank,deposit_rank,profit_rank,branches,employees,atms,extension_counters,branchless_banking_centers,mobile_banking_users,internet_banking_users,debit_cards,credit_cards,qr_users,digital_transactions_count,agriculture,manufacturing,construction,wholesale_retail,transportation,tourism,consumption,real_estate,hydropower,sme,retail,corporate,housing,vehicle,margin_lending,other_sectors,current_deposits,savings_deposits,fixed_deposits,call_deposits,other_deposits,casa_ratio,fixed_deposit_share,cost_of_deposits_pct,gdp_growth_pct,inflation_pct,remittance_usd_mn,policy_rate_pct,bank_rate_pct,ticker,share_price_eoy,market_cap,pe_ratio,pb_ratio,eps,bvps,dividend_per_share,dividend_yield_pct,annual_return_pct,price_volatility,digital_account_opening,mobile_banking,digital_lending,qr_ecosystem,api_open_banking,ai_initiatives,digital_customer_acquisition,core_banking_upgrade,fintech_partnership,digital_index
CIVIL,Civil Bank,True,False,2022,117581.99,4149.6,17075.54,83026.92,,,,105877.35,,,,7065.78,4849.59,2216.19,411.51,2985.7,1757.71,1098.91,344.69,755.85,527.78,0.46389076092438,,2.734946097427064,17.67692668385973,6.928723999426722,5.047236951480127,,,0.0,58.87095153565328,,,,,,,,,,,,2.366157153727178,2.512607558565243,,0.8874568571671666,21.0,19.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6313145568451,7.6702057938028,9411.7,6.0,7.0,,,,,,6.94,127.08,,,,,,,,,,,,,,
CIVIL,Civil Bank,True,False,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98254843461849,7.11587261530826,10764.4,7.5,8.5,,,,,,6.11,123.71,,,,,,,,,,,,,,
CIVIL,Civil Bank,True,False,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67787459697703,4.6850965426577,11254.5,6.5,7.5,,,,,,,,,,,,,,,,,,,,,
CIVIL,Civil Bank,True,False,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.43073194983359,2.65334269811436,,5.0,6.0,,,,,,,,,,,,,,,,,,,,,
CZBIL,Citizens Bank International,True,False,2020,110464.48,10841.97,11834.47,79169.82,,88516.23,,97096.25,13368.23,9089.82,3396.81,13956.19,8645.78,5310.41,1401.93,6712.34,2581.18,1646.84,548.47,3582.08,2516.24,,,,37.48677808335096,,,,,,38.45424993370419,,,,,,,,,15.45,12.1,89.44102115510343,2.925289130368607,3.21757326195661,2.944788316759366,5.154185789036519,20.0,19.0,21.0,7.0,,,,,,,,,,,,9108.8,14431.2,4619.9,24730.7,2309.9,5024.7,21206.2,8465.8,8620.6,18146.2,49842.4,25457.0,6013.0,1619.3,7239.4,10740.0,12459.7,38570.7,81792.2,10722.8,,35.55,56.98,,-2.3696206292072,5.05635826238499,8107.7,5.0,6.0,CZBIL,,,,,,,11.83,,,,,,,,,,,,,
CZBIL,Citizens Bank International,True,False,2021,168329.05,6671.36,22017.42,122159.21,122153.9,140638.41,,149441.03,18888.02,12576.92,4888.32,10839.53,7189.14,3650.4,825.37,4973.98,2124.68,1229.75,394.04,2585.7,1804.34,1.294391587925301,11.18753729897307,3.626302674780681,36.27557810847652,52.38296509429998,54.30022450474183,58.88431985862932,41.29035781101911,-28.29221377928973,42.71589350982513,,,,,,,,,13.89,11.24,86.86048853936845,3.625217822538024,3.798036392537534,3.854084825414356,3.264630987089768,15.0,15.0,15.0,14.0,,,148.0,,63.0,468088.0,41316.0,313312.0,7125.0,,,9345.2,14805.7,4739.8,25372.5,2369.9,5155.1,21756.6,8685.5,8844.3,18617.1,51135.8,26117.6,6169.0,1661.4,7427.3,11018.8,12207.4,37789.5,80135.8,10505.7,,35.55,56.98,,4.838149614115,4.12676744440695,8226.0,3.0,4.0,CZBIL,,,,,29.57,219.01,5.74,,,,,,,,,,,,,
CZBIL,Citizens Bank International,True,False,2022,194412.65,5500.14,28153.43,134644.25,134638.94,152801.49,,174003.36,20409.29,14200.97,4878.85,15967.65,10974.16,4993.49,998.1,6264.06,3002.38,-1785.43,552.42,2832.6,2005.61,1.10580614249754,10.20736533874711,3.888958505465619,32.01773290805004,15.49560221482864,10.22030185034759,8.64847661460335,8.054152843971995,11.15477127370672,47.93025609588669,,,,,,4.5,2.02,100.0,13.37,10.53,88.11710540257167,3.912256312149148,4.074680359904333,4.085428853150826,3.372413405780895,15.0,15.0,16.0,17.0,,,163.0,,59.0,618902.0,49211.0,395170.0,9184.0,,,10300.3,16318.9,5224.2,27965.6,2612.1,5682.0,23980.1,9573.2,9748.2,20519.8,56362.1,28786.9,6799.5,1831.2,8186.4,12144.9,13263.2,41057.8,87066.3,11414.3,,35.55,56.98,,5.6313145568451,7.6702057938028,9411.7,6.0,7.0,CZBIL,,,,,14.35,150.18,5.65,,,,,,,,,,,,,
CZBIL,Citizens Bank International,True,False,2023,198932.61,8939.42,28685.57,139832.01,142337.37,168842.14,,177969.09,20963.52,14200.97,5915.56,20660.83,14832.33,5828.5,1013.99,6911.06,3119.24,1889.9,1216.48,2516.45,1863.76,0.9476458417218501,9.009588664632643,4.246997536326092,26.96778786466909,2.324931016577358,3.852938391353522,10.49770522525666,2.715577072989794,-7.072661185375018,45.13403153785382,,,,,,3.99,1.8,100.0,12.4,9.68,82.81819337281557,3.218709499134616,3.554712590632366,3.373859714213326,3.29434755741458,17.0,16.0,17.0,14.0,,,223.0,,65.0,921923.0,67398.0,567921.0,14156.0,,,10092.1,17622.0,5693.7,28354.7,2405.6,6206.1,26205.3,10006.7,11828.7,21180.6,66303.2,24682.2,7003.3,2192.1,8327.0,12668.5,10805.9,51395.5,93200.9,13439.8,,36.84,55.2,,1.98254843461849,7.11587261530826,10764.4,7.5,8.5,CZBIL,,,,,14.12,143.72,5.25,,,,,,,,,,,,,
CZBIL,Citizens Bank International,True,False,2024,222682.23,8431.03,36283.86,155164.79,155159.48,189236.67,,201107.86,21574.37,14200.97,6760.15,19719.67,13995.85,5723.82,1279.68,7056.93,3282.95,1987.32,1725.41,2057.59,1320.73,0.6265102053808164,6.209663901994198,3.880598026826053,18.71536206253994,11.93852531266746,10.96514310278454,12.07905206603044,2.913871334585028,-29.13626217967978,46.52093757483778,,,,,,3.6,1.62,100.0,12.9,10.05,81.99509640494097,3.2293968149005,3.690728181572493,3.34001065998233,2.478819682961528,17.0,16.0,17.0,15.0,,,240.0,,56.0,1057054.0,66254.0,587887.0,14368.0,,,9961.6,18278.4,6377.3,29574.4,2265.4,6889.3,30039.9,11497.7,13964.8,21009.3,70693.1,29015.8,7215.2,3646.4,8022.0,15547.5,14722.6,69184.9,90057.7,15290.3,,44.34,47.59,,3.67787459697703,4.6850965426577,11254.5,6.5,7.5,CZBIL,193.5,27478.9,14.75,1.31,13.12,147.62,3.72,1.92,,,,,,,,,,,,
CZBIL,Citizens Bank International,True,False,2025,245382.97,11435.1,42267.57,168860.74,170109.8,211500.79,,222435.25,22947.71,14769.01,7400.53,17360.14,10944.73,6415.41,1511.94,8174.84,3507.91,-2035.65,-2680.01,1824.41,1287.08,0.5499575700137501,5.781760420896777,3.9598176106679,15.74440600672307,10.19423058588913,8.82671255508416,11.76522499576853,6.365608821949387,-2.547833395167831,42.91105391665157,,,,,,,,,,,79.8392951629164,3.163685981420422,3.814265604369814,3.282351762017344,2.436433298502264,17.0,16.0,17.0,17.0,,,244.0,,41.0,1189376.0,80076.0,618680.0,15757.0,,,10921.4,20039.6,6991.7,32423.9,2483.7,7553.1,32934.3,12605.5,15310.4,23033.6,77504.4,31811.5,7910.4,3997.7,8795.0,17045.5,16454.8,77324.7,100653.2,17089.3,,44.34,47.59,,4.43073194983359,2.65334269811436,,5.0,6.0,CZBIL,223.98,33079.6,24.08,1.47,9.3,151.92,3.48,1.55,15.75,,,,,,,,,,,
EBL,Everest Bank,True,False,2020,185018.81,9646.95,28813.51,112195.37,,143545.48,,166397.7,18621.11,8510.21,8144.9,13956.19,8645.78,5310.41,1401.93,6712.34,2581.18,1646.84,548.47,3582.08,2516.24,,,,37.48677808335096,,,,,,38.45424993370419,,,,,,,,,13.32,11.86,78.16015523442465,4.899615820458618,4.559778241599245,4.775520290771707,5.154185789036519,7.0,9.0,7.0,7.0,,,,,,,,,,,,9108.8,14431.2,4619.9,24730.7,2309.9,5024.7,21206.2,8465.8,8620.6,18146.2,49842.4,25457.0,6013.0,1619.3,7239.4,10740.0,12459.7,38570.7,81792.2,10722.8,,35.55,56.98,,-2.3696206292072,5.05635826238499,8107.7,5.0,6.0,EBL,,,,,8.71,155.38,11.83,,,,,,,,,,,,,
EBL,Everest Bank,True,False,2021,211650.25,30983.27,31460.03,135173.24,,160220.26,,190966.64,20683.61,8933.72,9147.21,11515.53,7559.21,3956.32,978.9,5306.0,2495.23,1611.06,262.37,2548.32,1770.94,0.892905536922895,9.011335025411707,3.198724365229687,33.37617791179797,14.39390946250276,20.48023015566507,11.61637412755874,11.07613885530991,-29.61959113598066,47.02657369016208,,,,,,,,,12.51,11.26,84.36713309540254,4.558204650027005,4.202653936753604,4.390709997289806,3.20419965210368,11.0,12.0,11.0,15.0,,,148.0,,63.0,468088.0,41316.0,313312.0,7125.0,,,10340.8,16383.0,5244.7,28075.5,2622.4,5704.3,24074.4,9610.8,9786.5,20600.4,56583.5,28900.0,6826.2,1838.4,8218.5,12192.6,13907.1,43051.2,91293.5,11968.5,,35.55,56.98,,4.838149614115,4.12676744440695,8226.0,3.0,4.0,EBL,,,,,,,7.93,,,,,,,,,,,,,
